Transaction_ID,Date,Time,Product_ID,Category,Product_Name,Brand,Price,Quantity,Total_Spent,Payment_Method,Store_Location
T00001,2024-08-24,11:54:00,MGT001,Men'S Graphic Tees,Sunset Vibes Tee,Riot Society,24.99,3,74.97,Credit Card,"San Diego, CA"
T00002,2024-07-29,12:22:00,M2F001,Men'S 2 For $34 Tees,Skater Logo Tee,Riot Spciety,17.99,5,85.99,Cash,"San Diego, CA"
T00003,2024-08-21,17:12:00,MGT001,Men'S Graphic Tees,Sunset Vibes Tee,Riot Society,24.99,1,24.99,Cash,"San Diego, CA"
T00004,2024-07-28,13:58:00,SH001,Shoes,Old Skool Sneakers,Vans,59.99,5,299.95,Cash,"San Diego, CA"
T00005,2024-08-19,13:23:00,SH001,Shoes,Old Skool Sneakers,Vans,59.99,4,239.96,Credit Card,"San Diego, CA"
T00006,2024-08-12,20:03:00,W4F001,Women'S 4 For $25 Tops,Basic Tank Top,RSQ,9.99,1,9.99,Credit Card,"San Diego, CA"
T00007,2024-08-28,17:12:00,WBJ001,Women'S Bogo Rsq Jeans,High Rise Skinny,RSQ,49.99,3,124.98,Credit Card,"San Diego, CA"
T00008,2024-07-28,15:44:00,M2F001,Men'S 2 For $34 Tees,Skater Logo Tee,Riot Spciety,17.99,1,17.99,Gift Card,"San Diego, CA"
T00009,2024-07-21,16:07:00,WBJ001,Women'S Bogo Rsq Jeans,High Rise Skinny,RSQ,49.99,5,199.96,Debit Card,"San Diego, CA"
T00010,2024-09-04,10:44:00,BP002,Backpacks,Heritage Backpack,Herschel,59.99,5,299.95,Cash,"San Diego, CA"
T00011,2024-09-12,16:27:00,M2F001,Men'S 2 For $34 Tees,Skater Logo Tee,Riot Spciety,17.99,5,85.99,Debit Card,"San Diego, CA"
T00012,2024-09-06,20:43:00,SH002,Shoes,Nike SB Chron,Nike,129.99,3,389.97,Mobile Payment,"San Diego, CA"
T00013,2024-07-27,11:11:00,MGT001,Men'S Graphic Tees,Sunset Vibes Tee,Riot Society,24.99,2,49.98,Debit Card,"San Diego, CA"
T00014,2024-07-20,13:58:00,M2F001,Men'S 2 For $34 Tees,Skater Logo Tee,Riot Spciety,17.99,4,68.0,Debit Card,"San Diego, CA"
T00015,2024-08-13,20:50:00,WBJ001,Women'S Bogo Rsq Jeans,High Rise Skinny,RSQ,49.99,2,74.98,Debit Card,"San Diego, CA"
T00016,2024-08-06,13:34:00,W4F001,Women'S 4 For $25 Tops,Basic Tank Top,RSQ,9.99,1,9.99,Mobile Payment,"San Diego, CA"
T00017,2024-08-24,12:55:00,SH001,Shoes,Old Skool Sneakers,Vans,59.99,2,119.98,Credit Card,"San Diego, CA"
T00018,2024-08-13,16:28:00,W4F001,Women'S 4 For $25 Tops,Basic Tank Top,RSQ,9.99,5,34.99,Credit Card,"San Diego, CA"
T00019,2024-08-27,15:32:00,MGT001,Men'S Graphic Tees,Sunset Vibes Tee,Riot Society,24.99,2,49.98,Cash,"San Diego, CA"
T00020,2024-09-04,15:23:00,BP001,Backpacks,Right Pack Backpack,JanSport,49.99,3,149.97,Cash,"San Diego, CA"
T00021,2024-07-28,19:40:00,WBJ001,Women'S Bogo Rsq Jeans,High Rise Skinny,RSQ,49.99,2,74.98,Gift Card,"San Diego, CA"
T00022,2024-08-09,20:58:00,BP002,Backpacks,Heritage Backpack,Herschel,59.99,2,119.98,Debit Card,"San Diego, CA"
T00023,2024-07-23,14:12:00,SH001,Shoes,Old Skool Sneakers,Vans,59.99,5,299.95,Debit Card,"San Diego, CA"
T00024,2024-08-31,19:58:00,BP001,Backpacks,Right Pack Backpack,JanSport,49.99,5,249.95,Gift Card,"San Diego, CA"
T00025,2024-08-07,13:44:00,MBG001,Men'S Bogo Rsq Jeans,Slim Fit Denim,RSQ,49.99,5,199.96,Gift Card,"San Diego, CA"
T00026,2024-07-20,10:48:00,M2F001,Men'S 2 For $34 Tees,Skater Logo Tee,Riot Spciety,17.99,2,34.0,Credit Card,"San Diego, CA"
T00027,2024-09-03,17:12:00,SH002,Shoes,Nike SB Chron,Nike,129.99,1,129.99,Gift Card,"San Diego, CA"
T00028,2024-08-08,20:10:00,BP002,Backpacks,Heritage Backpack,Herschel,59.99,5,299.95,Debit Card,"San Diego, CA"
T00029,2024-08-19,10:11:00,M2F001,Men'S 2 For $34 Tees,Skater Logo Tee,Riot Spciety,17.99,5,85.99,Debit Card,"San Diego, CA"
T00030,2024-09-02,20:56:00,WBJ001,Women'S Bogo Rsq Jeans,High Rise Skinny,RSQ,49.99,1,49.99,Debit Card,"San Diego, CA"
T00031,2024-08-11,12:41:00,BP002,Backpacks,Heritage Backpack,Herschel,59.99,1,59.99,Debit Card,"San Diego, CA"
T00032,2024-08-16,13:02:00,SH001,Shoes,Old Skool Sneakers,Vans,59.99,1,59.99,Debit Card,"San Diego, CA"
T00033,2024-09-06,20:54:00,SH001,Shoes,Old Skool Sneakers,Vans,59.99,5,299.95,Credit Card,"San Diego, CA"
T00034,2024-07-24,16:22:00,MBG001,Men'S Bogo Rsq Jeans,Slim Fit Denim,RSQ,49.99,5,199.96,Mobile Payment,"San Diego, CA"
T00035,2024-09-11,10:00:00,SH002,Shoes,Nike SB Chron,Nike,129.99,3,389.97,Gift Card,"San Diego, CA"
T00036,2024-07-16,11:54:00,WBJ001,Women'S Bogo Rsq Jeans,High Rise Skinny,RSQ,49.99,3,124.98,Credit Card,"San Diego, CA"
T00037,2024-07-18,14:06:00,SH002,Shoes,Nike SB Chron,Nike,129.99,1,129.99,Cash,"San Diego, CA"
T00038,2024-08-30,18:17:00,M2F001,Men'S 2 For $34 Tees,Skater Logo Tee,Riot Spciety,17.99,5,85.99,Credit Card,"San Diego, CA"
T00039,2024-07-23,18:06:00,SH001,Shoes,Old Skool Sneakers,Vans,59.99,2,119.98,Debit Card,"San Diego, CA"
T00040,2024-08-17,20:21:00,BP001,Backpacks,Right Pack Backpack,JanSport,49.99,2,99.98,Mobile Payment,"San Diego, CA"
T00041,2024-09-01,13:25:00,W4F001,Women'S 4 For $25 Tops,Basic Tank Top,RSQ,9.99,4,25.0,Debit Card,"San Diego, CA"
T00042,2024-08-12,18:49:00,BP002,Backpacks,Heritage Backpack,Herschel,59.99,1,59.99,Credit Card,"San Diego, CA"
T00043,2024-07-29,11:05:00,WBJ001,Women'S Bogo Rsq Jeans,High Rise Skinny,RSQ,49.99,1,49.99,Mobile Payment,"San Diego, CA"
T00044,2024-08-19,13:55:00,SH002,Shoes,Nike SB Chron,Nike,129.99,2,259.98,Cash,"San Diego, CA"
T00045,2024-07-19,20:46:00,MGT001,Men'S Graphic Tees,Sunset Vibes Tee,Riot Society,24.99,2,49.98,Cash,"San Diego, CA"
T00046,2024-09-10,10:32:00,WBJ001,Women'S Bogo Rsq Jeans,High Rise Skinny,RSQ,49.99,1,49.99,Mobile Payment,"San Diego, CA"
T00047,2024-07-30,14:45:00,BP002,Backpacks,Heritage Backpack,Herschel,59.99,2,119.98,Mobile Payment,"San Diego, CA"
